pitch_angle,yaw_angle
62,2.25
62,2.5
62,2.75
62,2.75
62,2.75
62,2.5
62,2.25
62,2
62,1.5
62,1
62,0.5
62,0.25
62,-0.25
62,-0.5
62,-0.75
62,-1
61.75,-1
61.25,-1
60.25,-0.75
58.5,-0.75
56.25,-0.5
53,-0.5
48.75,-0.25
43.5,0
37.25,0.25
29.75,0.5
21.5,1
0,0
0,0
0,0
0,-0.25
0,-0.5
0,-1
0.25,-1.5
1.25,-2
3.25,-2.75
6.25,-3.5
10.25,-4.25
15,-5
20,-5.25
24,-5.25
26.75,-4.75
27.75,-3.75
27.5,-2.25
26.25,-0.25
25.25,1.5
25.25,3
26,4.25
27.75,5.25
30.25,6.25
33.75,7
37.25,7.5
40,8.25
41.75,9.25
42,10.5
41.5,12
40.5,13.75
40.5,14.5
41,14.75
42.75,14.25
45.25,13.5
48.5,12.5
51.5,11.25
53.5,10.5
54,9.75
53.75,9.25
53,9
52.75,8.75
53,8
53.5,7
54.5,6
55.5,4.75
55.75,4
55.5,3.5
55.5,3.25
55.5,2.75
55.5,2.5
55.5,2.25
55.5,1.75
55.75,1.75
55.75,1.5
55.75,1.75
55.75,2
55.75,2.25
56,2.5
56.25,2.75
56.5,2.75
56.5,3
56.5,3
56.5,3
56.5,2.75
56.5,2.5
56.5,2
56.5,1.5
56.5,1
56.5,0.5
56.5,0.25
56.5,0
56.5,0
56.5,0
56.5,0
56.5,0
56.5,0.25
56.75,0.25
56.75,0
57,-0.25
57,-0.25
57,-0.25
57,0
57,0
57,-0.25
57,-0.5
57,-1
57,-1.5
57,-1.75
57,-2
57,-2
57,-2
57,-1.75
57,-1.25
57,-1
57,-0.25
57,0.25
57,0.75
57,1
57,1.5
57.25,1.75
57.25,1.75
57.25,1.5
57.25,1.5
57.25,1.25
57.25,1
57.25,0.75
57.25,0.75
57.25,0.75
57.25,1
57.25,1.25
57.25,1.75
57.25,2.25
57.25,2.5
57.25,2.75
57.25,2.5
57.25,2.25
57.25,2
57.25,1.5
57.25,1.25
57.25,1
57.25,1
57.25,1
57.25,1
57.25,1.25
57.25,1.75
57.25,1.75
57.25,2
57.25,1.75
57.25,1.5
57.25,1
57.25,0.75
57.25,0.25
57.25,0
57.25,-0.25
57.25,-0.25
