V,I_pitch,I_yaw
15.01,1.51,1.51
14.91,1.43,1.4
15.24,1.54,1.13
15.09,1.56,1.01
14.73,1.57,0.9
14.63,1.52,0.75
14.28,1.54,0.75
14.35,1.56,0.76
14.05,1.52,0.75
13.97,1.6,0.73
13.87,1.55,0.79
13.85,1.75,0.77
13.82,1.56,0.74
14.18,1.54,0.9
13.9,1.6,1.09
14.51,1.51,0.92
15.29,1.63,0.79
15.11,1.55,0.75
15.44,1.53,0.81
15.32,1.54,0.75
15.42,1.52,0.85
14.99,1.65,0.95
14.61,1.49,1.02
14.94,1.49,0.95
14.4,1.55,0.8
14.38,1.62,0.77
14.3,1.52,0.79
13.95,1.63,0.78
14,1.55,0.75
13.64,1.59,0.78
13.64,1.55,0.81
13.8,1.56,0.78
14.18,1.51,0.75
14.43,1.5,0.78
14.58,1.57,0.77
15.04,1.57,0.82
15.19,1.53,0.83
15.34,1.56,0.79
15.21,1.57,0.78
15.26,1.59,0.81
15.01,1.57,0.77
14.61,1.52,0.75
14.58,1.57,0.79
14.2,1.55,0.77
14.23,1.74,0.76
13.95,1.55,0.82
13.87,1.52,0.77
14.2,1.66,0.82
14.05,1.55,0.8
13.77,1.56,0.78
14.25,1.53,0.78
14.58,1.6,0.79
15.14,1.58,0.75
15.21,1.52,0.78
15.42,1.59,0.83
15.57,1.54,0.8
15.39,1.53,0.82
15.19,1.54,0.77
15.04,1.5,0.8
14.51,1.54,0.78
13.92,1.67,0.79
14.18,1.59,0.81
14.02,1.56,0.75
13.75,1.54,0.77
14.1,1.55,0.8
13.37,1.58,0.82
13.82,1.64,0.8
15.01,0,0
14.83,0,0.8
14.23,2.33,2.98
12.68,5.24,6.12
10.86,8.52,3.7
9.72,13.55,2.81
11.27,11.54,3.44
11.06,11.57,3.71
10.99,10.43,4.28
12.25,8.99,4.35
12.94,8.71,6.46
14.38,0.68,6.85
14.25,0.83,7.01
14.83,0.75,7.21
14.58,0.68,7.63
13.47,0.76,7.89
13.32,0.93,8.29
13.01,0.94,8.58
12.61,1.41,3.61
9.39,12.65,3.66
9.8,12.13,4.65
10.46,10.6,4.55
10.48,9.98,5.18
11.85,9.72,5.48
11.72,9.56,8.13
14.43,0.89,8.81
14.51,0.77,8.87
14.96,0.78,9.01
14.53,0.84,9.15
13.16,0.96,9.48
13.92,1.81,4.24
9.77,12.44,4.85
10.78,11.22,5.66
11.11,10.14,5.92
10.23,9.52,8.35
12.66,3.92,8.63
12.08,3.85,9.53
13.9,0.71,9.66
14.25,0.79,10.03
14.61,0.76,9.8
14.56,0.61,6.69
11.24,11.97,5.07
10.51,11.57,5.67
11.59,9.77,5.93
12.28,9.12,9.28
13.44,1.24,8.05
13.52,1.3,7.91
14.35,0.7,7.3
12.76,0.9,4.58
11.06,9.02,4.45
11.64,7.99,4.09
10.63,9.78,3.75
12.48,9.89,6.02
14.25,0.98,7.24
14.73,0.79,7.12
13.95,0.9,7.5
14.02,1.87,5.17
12.43,6.85,6.16
11.82,6.38,4.27
11.29,10.85,4.66
11.54,9.9,8.42
12.61,1.14,8.34
12.61,1.18,8.88
13.64,0.8,8.91
12.71,0.85,5.84
11.04,9.45,5.14
11.27,9,5.18
10.91,11.36,4.88
12.15,8.35,8.05
13.9,0.85,7.18
14.13,0.89,6.79
14.15,0.83,6.79
13.59,0.86,4.26
11.95,7.16,4.39
12.86,6.49,3.95
11.67,8.8,3.36
11.24,8.74,5.74
13.47,0.96,6.59
13.54,0.95,6.38
14.43,0.78,6.57
13.82,0.83,5.77
12.86,7,5.68
13.49,6.02,5.52
12.71,6.17,5.18
12.33,6.2,6.99
13.24,2.81,7.22
14.1,2.87,7.23
13.26,2.69,7.8
12.23,2.69,8.03
12.3,2.72,7.95
12.38,2.94,7.92
12.28,3.04,7.54
12.18,2.78,7.22
12.3,2.79,6.86
13.19,2.68,6.55
13.44,3.22,5.78
13.59,2.96,5.68
14.05,2.98,5.25
13.37,3.37,4.9
13.42,3.11,4.67
13.04,3.24,4.34
13.97,3.17,4
13.21,3.19,4.17
13.29,3.27,4.36
13.06,3.28,4.4
13.39,3.13,4.79
12.86,2.94,5.24
12.23,3.03,5.43
14.1,3.06,5.9
13.52,3.34,6.38
13.8,3.06,6.51
14.15,2.98,6.84
14.18,2.71,6.69
14.58,2.83,6.56
13.7,2.91,6.25
13.24,2.98,5.94
13.59,2.82,5.36
13.72,3.13,5.49
13.01,3.02,4.76
13.75,3.04,4.56
13.42,3.29,4.18
13.24,3.09,4.02
13.32,3.18,3.56
13.97,3.58,3.27
13.72,3.23,2.97
13.9,3.5,2.93
14.89,3.6,2.62
14.33,3.28,2.5
14.1,3.36,2.6
13.42,3.61,2.96
13.09,3.33,3.25
13.49,3.34,3.64
13.01,3.14,3.92
12.83,3.2,4.08
13.14,3.12,4.53
12.89,2.97,4.64
12.63,3.03,4.62
12.76,3.23,4.51
13.75,3.09,4.13
14.38,3.3,3.96
13.72,3.39,3.7
14.05,3.23,3.67
14.76,3.15,3.4
14.33,3.2,3.4
14.76,3.24,3.64
13.8,3.3,3.53
13.42,3.17,3.5
13.37,3.21,3.38
13.29,3.29,3.54
13.82,3.29,3.54
13.42,3.25,3.47
12.45,3.26,3.32
12.96,3.47,3.48
13.16,3.26,3.58
13.52,3.15,3.49
13.75,3.14,3.48
13.85,3.29,3.56
14.43,3.05,3.43
14.89,3.22,3.51
14.13,3.3,3.62
14.1,3.2,3.52
13.67,3.26,3.57
12.99,3.38,3.36
14.15,3.26,3.37
12.94,3.2,3.5
12.91,3.51,3.46
13.9,3.01,3.58
13.16,3.29,3.43
12.51,3.28,3.48
13.19,3.17,3.29
14.2,3.2,3.19
13.54,3.29,2.99
14.56,3.33,2.88
14.23,3.14,2.63
14.18,3.01,2.73
14.25,2.96,2.5
14.1,3.05,2.33
14.3,2.92,2.36
13.87,2.86,2.34
13.77,2.77,2.24
14.28,2.7,2.22
13.49,2.65,2.06
13.42,2.71,2.07
13.11,2.79,2.04
13.85,2.73,2.02
13.26,2.71,2.15
13.8,2.68,2.14
14.13,2.19,0
6.66,0,0
6.35,0,0
6.1,0,0
5.82,0,0
5.7,0,0
5.67,0,0
5.44,0,0
5.24,0,0
4.78,0,0
4.68,0,0
4.61,0,0
4.46,0,0
4.46,0,0
4.33,0,0
4.43,0,0
4,0,0
3.95,0,0
5.24,0,0
4.43,0,0
4.56,0,0
4.63,0,0
4.61,0,0
4.51,0,0
4.35,0,0
4.38,0,0
4.2,0,0
4.08,0,0
3.95,0,0
3.9,0,0
3.92,0,0
3.92,0,0
4.03,0,0
4.33,0,0
4.23,0,0
4.63,0,0
4.23,0,0
4.2,0,0
4.1,0,0
4.1,0,0
3.92,0,0
3.97,0,0
3.77,0,0
3.87,0,0
3.9,0,0
15.87,0,0
15.87,0,0
15.87,0,0
15.85,0,0
15.29,1.84,1.57
14.18,1.62,1.61
14.78,1.78,1.8
11.11,1.77,1.81
14.33,0,1.65
14.25,1.93,0
12.61,3.79,2.46
9.64,9.64,3.76
8.38,12.44,4.27
8.66,13.8,4.09
9.77,11.47,4.03
8.56,10.42,4.53
8.68,9.79,7.96
12.71,0.85,7.13
12.23,1.03,7.2
12.63,0.82,7.12
12.51,0.92,7.54
12.02,1.03,7.66
11.7,1.12,8.09
11.85,1.07,8.58
11.82,1.03,4.63
7.8,12.78,3.79
8.15,11.98,4.73
9.59,10.42,4.65
9.64,10.12,4.12
9.49,10.74,3.85
8.83,9.37,7.69
11.8,1.01,7.57
12.58,1.14,7.89
12.4,1.15,7.77
11.54,1.25,7.93
11.77,1.24,7.74
12.25,1.23,4.2
9.39,13.37,3.4
8.68,12.17,4.53
9.52,11.74,3.94
9.52,11.28,4.18
10.86,8.41,4.42
8.86,7.56,6.06
12.33,1.27,5.39
13.52,1.29,5.82
13.16,1.22,6
13.04,1.17,5.57
13.21,1.32,5.11
13.44,1.36,2.61
10.18,13.44,2.35
8.08,12.3,2.45
8.83,11.35,2.37
9.57,11.23,3.99
13.54,1.17,4.87
13.59,1.27,4.96
13.39,1.35,5.62
13.29,1.23,5.56
13.16,1.22,6.07
12.3,1.76,2.96
8.08,12.77,3.63
10,11.59,4.3
8.83,11.08,4.87
9.32,10.65,8.08
11.85,1.05,8.71
11.97,1.13,8.84
12.13,1.1,8.75
11.01,1.39,8.38
10.63,3.9,8.27
11.39,5.62,4.55
9.09,11.65,4.99
8.66,11.46,8.25
10.61,4.69,7.17
10.81,4.75,9.11
11.75,1.15,9.08
11.7,1.04,8.36
11.8,2.16,7.85
11.72,1.91,5.37
9.57,8.16,5.17
10.4,7.55,5.18
10.78,8.14,4.96
9.85,6.43,7.01
12.63,1.2,6.18
12.71,1.21,6.47
12.86,1.2,7.04
12.83,1.36,4.54
10.86,6.02,4.59
11.64,5.63,5.05
12.38,3.72,4.76
12.02,3.89,5.31
12.61,2.6,5.64
12.43,2.75,6.08
11.82,2.52,6.19
11.52,2.46,6.69
11.27,2.59,7.01
11.37,2.77,6.51
11.37,3.82,7.33
10.89,3.65,7.67
10.51,2.65,7.35
12.2,2.38,7.01
12.13,2.7,6.64
12.28,2.67,5.36
11.62,4.63,5.36
12.23,4.45,5.21
11.27,4.69,4.74
12.1,4.73,4.96
11.9,3.18,4.55
12.89,3.11,4.77
12.71,2.99,5.23
12.61,3.06,5.74
12.1,3.19,6.12
12.45,3.12,6.1
12.08,2.95,6.74
12.02,2.87,7.16
12.28,2.68,7.4
10.99,2.8,6.67
11.64,2.86,6.74
12.25,2.85,5.95
12.1,3.11,5.8
12.3,2.93,5.43
11.7,3,5.26
11.9,3.07,4.93
12.81,2.96,4.56
12.66,3.51,4.16
12.28,3.11,3.76
13.19,3.06,3.64
13.04,3.27,3.34
13.11,3.39,3.05
13.42,3.28,2.74
13.44,3.28,2.58
13.06,3.31,2.4
12.96,3.31,2.57
13.39,3.68,2.75
12.96,3.14,3.14
12.43,3.41,3.51
13.32,3.31,3.9
12.71,3.03,3.99
12.96,3.17,1.97
3.54,0,0
2.76,0,0
2.28,0,0
2.08,0,0
1.87,0,0
1.75,0,0
1.62,0,0
1.47,0,0
1.37,0,0
1.29,0,0
1.24,0,0
1.14,0,0
1.09,0,0
1.01,0,0
15.87,0,0
15.87,0,0.74
13.92,2.48,2.85
12.23,6.24,5.46
9.49,8.48,6.57
8.23,9.93,7.83
8.91,7.3,7.93
9.8,7.17,7.37
9.21,7.29,7.72
9.85,6.98,8.01
9.32,6.59,9.78
11.11,1.33,10.71
10.66,1.27,11.22
10.43,0.58,11.55
10.48,0.77,11.65
10.46,0.89,10.77
10.23,1.62,6.24
8.78,9.75,6.91
9.21,8.06,6.98
9.24,7.39,6.38
9.57,7.32,6.62
9.8,7.24,6.06
9.97,7.52,7.55
11.82,2.01,7.51
11.77,2.09,7
12,1.1,6.51
12.91,0.93,5.91
13.29,0.99,5.09
12.78,2.25,2.66
10,10.02,2.57
9.95,9.52,2.69
9.95,8.69,2.5
11.29,8.69,2.8
13.29,3.41,2.35
12.53,3.4,3.2
14.15,0.99,3.77
13.95,0.95,4.14
13.72,0.99,4.79
13.44,0.93,3.62
10.58,7.59,3.79
9.95,6.98,3.34
9.95,8.87,2.95
10.78,7.71,5.08
12.53,3.27,5.2
12.25,3.38,6.55
12.73,0.85,6.52
12.45,0.83,4.78
10.58,6.49,5.58
10.1,6,6.4
10.63,5.54,6.98
10.18,5.3,7.32
9.72,5.15,7.63
9.42,5.18,8.25
10.02,3.43,8.84
10.13,3.84,7.68
10.91,5.43,7.56
10.48,5.11,6.83
10.48,5.04,6.68
9.59,5.78,7.12
11.77,2.72,6.79
12.08,2.97,5.78
11.9,3.89,5.13
11.47,3.84,4.54
11.9,5.94,3.91
11.72,5.63,4.47
11.27,5.57,4.9
11.49,4.86,5.81
10.86,5.02,6.68
9.7,4.93,6.72
10.96,4.81,7.53
10.33,4.63,7.63
